# Logfile created on 2019-05-21 12:14:12 +0300 by logger.rb/61378
D, [2019-05-21T12:14:16.107162 #9586] DEBUG -- : Response:  OK [] 
I, [2019-05-21T12:20:13.529707 #9711]  INFO -- : {"rack.version"=>[1, 3], "rack.errors"=>#<Rack::Lint::ErrorWrapper:0x00007f382401b888 @error=#<IO:<STDERR>>>, "rack.multithread"=>true, "rack.multiprocess"=>false, "rack.run_once"=>false, "SCRIPT_NAME"=>"", "QUERY_STRING"=>"", "SERVER_PROTOCOL"=>"HTTP/1.1", "SERVER_SOFTWARE"=>"puma 3.12.0 Llamas in Pajamas", "GATEWAY_INTERFACE"=>"CGI/1.2", "REQUEST_METHOD"=>"GET", "REQUEST_PATH"=>"/tests", "REQUEST_URI"=>"/tests", "HTTP_VERSION"=>"HTTP/1.1", "HTTP_HOST"=>"localhost:9292", "HTTP_USER_AGENT"=>"curl/7.64.0", "HTTP_ACCEPT"=>"*/*", "SERVER_NAME"=>"localhost", "SERVER_PORT"=>"9292", "PATH_INFO"=>"/tests", "REMOTE_ADDR"=>"::1", "puma.socket"=>#<TCPSocket:fd 15, AF_INET6, ::1, 9292>, "rack.hijack?"=>true, "rack.hijack"=>#<Proc:0x00007f382401bb30@/home/dade/.rbenv/versions/2.5.0/lib/ruby/gems/2.5.0/gems/rack-2.0.7/lib/rack/lint.rb:525>, "rack.input"=>#<Rack::Lint::InputWrapper:0x00007f382401b8b0 @input=#<Puma::NullIO:0x0000561c24fc1e08>>, "rack.url_scheme"=>"http", "rack.after_reply"=>[], "puma.config"=>#<Puma::Configuration:0x0000561c24d6d2b0 @options=#<Puma::UserFileDefaultOptions:0x0000561c24d6c8d8 @user_options={:environment=>"development", :pid=>nil, :Port=>9292, :Host=>"localhost", :AccessLog=>[], :config=>"/home/dade/projects/ruby/simpler/config.ru", :log_requests=>false, :binds=>["tcp://localhost:9292"], :app=>#<Rack::ContentLength:0x0000561c24ef4688 @app=#<Rack::Chunked:0x0000561c24ef4728 @app=#<Rack::CommonLogger:0x0000561c24ef47c8 @app=#<Rack::ShowExceptions:0x0000561c24f2a4e0 @app=#<Rack::Lint:0x0000561c24f2a558 @app=#<Rack::TempfileReaper:0x0000561c24f2a5a8 @app=#<Simpler::AppLogger:0x0000561c250d28d8 @logger=#<Logger:0x0000561c250d1500 @level=0, @progname=nil, @default_formatter=#<Logger::Formatter:0x0000561c250d14b0 @datetime_format=nil>, @formatter=nil, @logdev=#<Logger::LogDevice:0x0000561c250d1460 @shift_period_suffix="%Y%m%d", @shift_size=1048576, @shift_age=0, @filename=#<Pathname:/home/dade/projects/ruby/simpler/log/app.log>, @dev=#<File:/home/dade/projects/ruby/simpler/log/app.log>, @mon_owner=nil, @mon_count=0, @mon_mutex=#<Thread::Mutex:0x0000561c250d13e8>>>, @app=#<Simpler::Application:0x0000561c24d10588 @router=#<Simpler::Router:0x0000561c24d104c0 @routes=[#<Simpler::Router::Route:0x0000561c250d3300 @method=:get, @path="/tests", @controller=TestsController, @action="index">, #<Simpler::Router::Route:0x0000561c250d30a8 @method=:post, @path="/tests", @controller=TestsController, @action="create">]>, @db=#<Sequel::SQLite::Database: {"adapter"=>"sqlite", "database"=>#<Pathname:/home/dade/projects/ruby/simpler/db/test_guru.sqlite>}>>>>, @content_length=nil>>, @logger=#<IO:<STDERR>>>>>}, @file_options={}, @default_options={:min_threads=>0, :max_threads=>16, :log_requests=>false, :debug=>false, :binds=>["tcp://0.0.0.0:9292"], :workers=>0, :daemon=>false, :mode=>:http, :worker_timeout=>60, :worker_boot_timeout=>60, :worker_shutdown_timeout=>30, :remote_address=>:socket, :tag=>"simpler", :environment=>"development", :rackup=>"config.ru", :logger=>#<IO:<STDOUT>>, :persistent_timeout=>20, :first_data_timeout=>30, :Verbose=>false, :Silent=>false}>, @plugins=#<Puma::PluginLoader:0x0000561c24d6c6f8 @instances=[]>, @user_dsl=#<Puma::DSL:0x0000561c24d6c680 @config=#<Puma::Configuration:0x0000561c24d6d2b0 ...>, @options={:environment=>"development", :pid=>nil, :Port=>9292, :Host=>"localhost", :AccessLog=>[], :config=>"/home/dade/projects/ruby/simpler/config.ru", :log_requests=>false, :binds=>["tcp://localhost:9292"], :app=>#<Rack::ContentLength:0x0000561c24ef4688 @app=#<Rack::Chunked:0x0000561c24ef4728 @app=#<Rack::CommonLogger:0x0000561c24ef47c8 @app=#<Rack::ShowExceptions:0x0000561c24f2a4e0 @app=#<Rack::Lint:0x0000561c24f2a558 @app=#<Rack::TempfileReaper:0x0000561c24f2a5a8 @app=#<Simpler::AppLogger:0x0000561c250d28d8 @logger=#<Logger:0x0000561c250d1500 @level=0, @progname=nil, @default_formatter=#<Logger::Formatter:0x0000561c250d14b0 @datetime_format=nil>, @formatter=nil, @logdev=#<Logger::LogDevice:0x0000561c250d1460 @shift_period_suffix="%Y%m%d", @shift_size=1048576, @shift_age=0, @filename=#<Pathname:/home/dade/projects/ruby/simpler/log/app.log>, @dev=#<File:/home/dade/projects/ruby/simpler/log/app.log>, @mon_owner=nil, @mon_count=0, @mon_mutex=#<Thread::Mutex:0x0000561c250d13e8>>>, @app=#<Simpler::Application:0x0000561c24d10588 @router=#<Simpler::Router:0x0000561c24d104c0 @routes=[#<Simpler::Router::Route:0x0000561c250d3300 @method=:get, @path="/tests", @controller=TestsController, @action="index">, #<Simpler::Router::Route:0x0000561c250d30a8 @method=:post, @path="/tests", @controller=TestsController, @action="create">]>, @db=#<Sequel::SQLite::Database: {"adapter"=>"sqlite", "database"=>#<Pathname:/home/dade/projects/ruby/simpler/db/test_guru.sqlite>}>>>>, @content_length=nil>>, @logger=#<IO:<STDERR>>>>>}, @plugins=[]>, @file_dsl=#<Puma::DSL:0x0000561c24d6c608 @config=#<Puma::Configuration:0x0000561c24d6d2b0 ...>, @options={}, @plugins=[]>, @default_dsl=#<Puma::DSL:0x0000561c24d6c518 @config=#<Puma::Configuration:0x0000561c24d6d2b0 ...>, @options={:min_threads=>0, :max_threads=>16, :log_requests=>false, :debug=>false, :binds=>["tcp://0.0.0.0:9292"], :workers=>0, :daemon=>false, :mode=>:http, :worker_timeout=>60, :worker_boot_timeout=>60, :worker_shutdown_timeout=>30, :remote_address=>:socket, :tag=>"simpler", :environment=>"development", :rackup=>"config.ru", :logger=>#<IO:<STDOUT>>, :persistent_timeout=>20, :first_data_timeout=>30, :Verbose=>false, :Silent=>false}, @plugins=[]>>, "rack.tempfiles"=>[], "simpler.controller"=>#<TestsController:0x00007f3824030aa8 @name="tests", @request=#<Rack::Request:0x00007f38240308c8 @params=nil, @env={...}>, @response=#<Rack::Response:0x00007f38240308a0 @status=200, @header={"Content-Type"=>"text/plain", "Content-Length"=>"5"}, @writer=#<Proc:0x00007f3824030738@/home/dade/.rbenv/versions/2.5.0/lib/ruby/gems/2.5.0/gems/rack-2.0.7/lib/rack/response.rb:32 (lambda)>, @block=nil, @length=5, @body=["Hello", ""]>, @tests=[#<Test @values={:id=>1, :title=>"Ruby beginner", :level=>0}>, #<Test @values={:id=>2, :title=>"Ruby advanced", :level=>1}>, #<Test @values={:id=>3, :title=>"Ruby expert", :level=>2}>, #<Test @values={:id=>4, :title=>"Javascript basics", :level=>1}>]>, "simpler.action"=>"index"}
I, [2019-05-21T12:20:13.531534 #9711]  INFO -- : Request: GET /tests?category=Backend
I, [2019-05-21T12:20:13.531604 #9711]  INFO -- : Handler: TestsController#index
I, [2019-05-21T12:20:13.531645 #9711]  INFO -- : Parameters: {'category' => 'Backend'}
I, [2019-05-21T12:20:13.531693 #9711]  INFO -- : Response: 200 OK [] 

I, [2019-05-21T12:24:10.506412 #9776]  INFO -- : Request: GET /tests?category=Backend
I, [2019-05-21T12:24:10.506522 #9776]  INFO -- : Handler: TestsController#index
I, [2019-05-21T12:24:10.506565 #9776]  INFO -- : Parameters: {'category' => 'Backend'}
I, [2019-05-21T12:24:10.506618 #9776]  INFO -- : Response: 200 OK [] 
